Name,Status
Carl Eugene Watts,Captured
Philipp Tyurin,Captured
Zdzis?aw Marchwicki,Captured
Monster of Florence,Not Captured
Joachim Kroll,Captured
Arthur Shawcross,Captured
The Doodler,Not Captured
Marcelo Costa de Andrade,Captured
Julio Pérez Silva,Captured
Sergey Shipilov,Captured
Abdufatto Zamanov,Captured
Jeong Nam-gyu,Captured
Amir Qayyum,Captured
Jake Bird,Captured
Belle Gunness,Not Captured
Cleveland Torso Murderer,Not Captured
Kaspars Petrovs,Captured
Richard Ramirez,Captured
Sleepy Hollow Killer,Not Captured
Peter Sutcliffe,Captured
Francisco Antonio Laureana,Not Captured
Tamara Samsonova,Captured
Herbert Mullin,Captured
Boston Strangler,Captured
Lorenzo Gilyard,Captured
Joseph James DeAngelo,Captured
Vladimir Storozhenko,Captured
Vasiliy Kulik,Captured
Nikolai Dudin,Captured
Denis Pischikov,Captured
Nikolay Shubin,Captured
Johannes Mashiane,Captured
Mukosi Freddy Mulaudzi,Captured
Thozamile Taki,Captured
Rainbow Maniac,Not Captured
Naceur Damergi,Captured
Adolf Seefeldt,Captured
Donald Henry Gaskins,Captured
William Suff,Captured
Vladimir Romanov,Captured
Maury Travis,Captured
Dennis Nilsen,Captured
Kenneth Bianchi,Captured
Charles Sobhraj,Captured
Abdallah al-Hubal,Captured
Nikolai Shestakov,Captured
Anatoly Sedykh,Captured
Joseph Christopher,Captured
Paraquat murders killer,Not Captured
Enriqueta Martí,Captured
Herb Baumeister,Not Captured
John Bunting,Captured
Sergey Golovkin,Captured
Juana Barraza,Captured
Zhang Yongming,Captured
Jack Unterweger,Captured
Vaughn Greenwood,Captured
Benjamin Atkins,Captured
Nannie Doss,Captured
Clifford Olson,Captured
Henri Désiré Landru,Captured
West Mesa Killer,Not Captured
Anthony Sowell,Captured
Andre Crawford,Captured
Francisco García Escalero,Captured
Robledo Puch,Captured
Adnan Çolak,Captured
Seisaku Nakamura,Captured
Very Idham Henyansyah,Captured
Francisco de Assis Pereira,Captured
Roshu Kha,Captured
Gao Chengyong,Captured
Marie Alexandrine Becker,Captured
Ruslan Khamarov,Captured
Yevgeny Petrov,Captured
Rudolf Pleil,Captured
Milton Johnson,Captured
Long Island serial killer,Not Captured
Daniel Lee Siebert,Captured
Lonnie David Franklin Jr.,Captured
Sergey Cherny,Captured
Bobby Joe Long,Captured
Stewart Wilken,Captured
David Randitsheni,Captured
Edmund Kemper,Captured
Dennis Rader,Captured
Ali Kaya,Captured
Robert Wagner,Captured
Jeanne Weber,Captured
Henry Louis Wallace,Captured
Angelo Buono Jr.,Captured
Satish,Not Captured
Zhou Kehua,Captured
Kang Ho-sun,Captured
Eduard Shemyakov,Captured
Oleg Kuznetsov,Captured
Stanislav Rogolev,Captured
Volker Eckert,Captured
Louis van Schoor,Captured
Peter Kürten,Captured
Roger Dale Stafford,Captured
Norman Afzal Simons,Captured
Francis Heaulme,Captured
Joel Rifkin,Captured
Dagmar Overbye,Captured
Kenneth McDuff,Captured
Robert Joseph Silveria Jr.,Captured
Richard Biegenwald,Captured
Alexander Bychkov,Captured
New Bedford Highway Killer,Not Captured
Maryvale serial shooter,Not Captured
Viktor Fokin,Captured
Timothy Krajcir,Captured
Edgecombe County Serial Killer,Not Captured
Eric Edgar Cooke,Captured
Joseph Paul Franklin,Captured
Yoshio Kodaira,Captured
Keith Hunter Jesperson,Captured
Rodney Alcala,Captured
Kiyotaka Katsuta,Captured
Pierre Chanal,Captured
Christopher Wilder,Captured
Axeman of New Orleans,Not Captured
Vladimir Retunsky,Captured
Gilbert Paul Jordan,Captured
Bruce McArthur,Captured
Elizabeth Wettlaufer,Captured
Nikolai Dzhumagaliev,Captured
Manuel Delgado Villegas,Captured
Ershad Sikder,Captured
Ivan Milat,Captured
Michael Wayne McGray,Captured
Kenneth Erskine,Captured
David Carpenter,Captured
Vladimir Kuzmin,Captured
Tommy Recco,Captured
Todd Kohlhepp,Captured
Ohio Prostitute Killer,Not Captured
Derrick Todd Lee,Captured
Tomás Maldonado Cera,Captured
Aileen Wuornos,Captured
Nikos Metaxas,Captured
David Berkowitz,Captured
Richard Chase,Captured
Tommy Lynn Sells,Captured
W?adys?aw Mazurkiewicz,Captured
Gong Runbo,Captured
Cristopher Chávez Cuellar,Captured
András Pándy,Captured
John Wayne Glover,Captured
Alexander Sergeychik,Captured
Adrián Arroyo Gutiérrez,Captured
Joseph Naso,Captured
Terry Peder Rasmussen,Captured
Richard Cottingham,Captured
Zodiac Killer,Not Captured
John Floyd Thomas Jr.,Captured
Carl Panzram,Captured
Steve Wright,Captured
Michel Peiry,Captured
Hubert Pil?ík,Captured
Thomas Dillon,Captured
Joe Metheny,Captured
Sek Kim Wah,Captured
Karl Denke,Captured
Francisco das Chagas Rodrigues de Brito,Captured
Luis Gregorio Ramírez Maestre,Captured
David Thabo Simelane,Captured
Zhang Jun,Captured
Cedric Maake,Captured
Mariam Soulakiotis,Captured
Bruce George Peter Lee,Captured
The Stoneman,Not Captured
Juan Corona,Captured
Fritz Haarmann,Captured
Béla Kiss,Not Captured
Majid Salek Mohammadi,Captured
Yvan Keller,Captured
Ronald Dominique,Captured
Juan Fernando Hermosa,Captured
Earle Nelson,Captured
Mikhail Novosyolov,Captured
Manuel Octavio Bermúdez,Captured
Patrick Kearney,Captured
William Bonin,Captured
Vasile Tcaciuc,Captured
Yoo Young-chul,Captured
Francisco Guerrero Pérez,Captured
Abdullah Shah,Captured
José Paz Bezerra,Captured
Bulelani Mabhayi,Captured
Mohan Kumar,Captured
Alexander Spesivtsev,Captured
Larry Eyler,Captured
Surinder Koli,Captured
El Psicópata,Not Captured
Sergei Ryakhovsky,Captured
Yevgeny Chuplinsky,Captured
M. Jaishankar,Captured
Ansis Kaup?ns,Captured
Vadim Ershov,Captured
Velaphi Ndlangamandla,Captured
Yavuz Yap?c?o?lu,Captured
Paul John Knowles,Captured
Thierry Paulin,Captured
Randall Woodfield,Captured
Umesh Reddy,Captured
Christopher Mhlengwa Zikode,Captured
Asande Baninzi,Captured
Huang Yong,Captured
Pedro Pablo Nakada Ludeña,Captured
Darbara Singh,Captured
Sergei Dovzhenko,Captured
Donato Bilancia,Captured
Irina Gaidamachuk,Captured
Randy Steven Kraft,Captured
Mohammed Bijeh,Captured
Michel Fourniret,Captured
Sipho Agmatir Thwala,Captured
Saeed Hanaei,Captured
Jeffrey Dahmer,Captured
José Antonio Rodríguez Vega,Captured
Elias Xitavhudzi,Not Captured
Jimmy Maketta,Captured
Jack Mogale,Captured
Robert Lee Yates,Captured
Carroll Cole,Captured
Charles Ray Hatcher,Captured
Yuri Ivanov,Captured
Vladimir Mirgorod,Captured
Lee Choon-jae,Captured
Dorángel Vargas,Captured
Ravinder Kumar,Captured
Atlanta Ripper,Not Captured
Robert Hansen,Captured
Ángel Maturino Reséndiz,Captured
Chester Turner,Captured
Elifasi Msomi,Captured
Florencio Fernández,Not Captured
Bai Baoshan,Captured
Maurizio Minghella,Captured
Alexander Labutkin,Captured
Luis Garavito,Captured
Pedro López,Not Captured
Javed Iqbal,Captured
Mikhail Popkov,Captured
Daniel Camargo Barbosa,Captured
Pedro Rodrigues Filho,Captured
Kampatimar Shankariya,Captured
Yang Xinhai,Captured
Samuel Little,Captured
Giuseppe Greco,Not Captured
Andrei Chikatilo,Captured
Anatoly Onoprienko,Captured
Ivan Maleshoff,Not Captured
Florisvaldo de Oliveira,Captured
Willy Pickton,Captured
Gary Ridgway,Captured
Alexander Pichushkin,Captured
Wang Qiang,Captured
Ahmad Suradji,Captured
Raman Raghav,Captured
Tiago Henrique Gomes da Rocha,Captured
Moses Sithole,Captured
Serhiy Tkach,Captured
Gennady Mikhasevich,Captured
Hadj Mohammed Mesfewi,Not Captured
Vera Renczi,Captured
Ted Bundy,Captured
Clementine Barnabet,Not Captured
John Wayne Gacy,Captured
Ali Asghar Borujerdi,Not Captured
Vasili Komaroff,Captured
Fernando Hernández Leyva,Captured
Ramadan Abdel Rehim Mansour,Captured
Radik Tagirov,Captured
Charlie Brandt,Captured
Robert Black,Captured
Max Gufler,Captured
Ernesto Picchioni,Captured
Baekuni,Captured
Igor Chernat,Captured
Ricky Lee Green,Captured
Robert Hicks Murray,Captured
Dallen Bounds,Captured
Stephen Port,Captured
Robert Maudsley,Captured
Sharon Kinne,Not Captured
Ted Kaczynski,Captured
Robert Ben Rhoades,Captured
Peter Tobin,Captured
Pedro Padilla Flores,Captured
Billy Glaze,Captured
Bertha Gifford,Captured
Bernhard Prigan,Captured
Stephen Griffiths,Captured
Koos Hertogs,Captured
Chisako Kakehi,Captured
Dorothea Puente,Captured
Patrick Mackay,Captured
Leonarda Cianciulli,Captured
Özkan Zengin,Captured
Albert Fish,Captured
Heriberto Seda,Captured
John Martin,Captured
