Name,Gender
Carl Eugene Watts,Male
Philipp Tyurin,Male
Zdzis?aw Marchwicki,Male
Monster of Florence,Male
Joachim Kroll,Male
Arthur Shawcross,Male
The Doodler,Male
Marcelo Costa de Andrade,Male
Julio Pérez Silva,Male
Sergey Shipilov,Male
Abdufatto Zamanov,Male
Jeong Nam-gyu,Male
Amir Qayyum,Male
Jake Bird,Male
Belle Gunness,Female
Cleveland Torso Murderer,Male
Kaspars Petrovs,Male
Richard Ramirez,Male
Sleepy Hollow Killer,Male
Peter Sutcliffe,Male
Francisco Antonio Laureana,Male
Tamara Samsonova,Female
Herbert Mullin,Male
Boston Strangler,Male
Lorenzo Gilyard,Male
Joseph James DeAngelo,Male
Vladimir Storozhenko,Male
Vasiliy Kulik,Male
Nikolai Dudin,Male
Denis Pischikov,Male
Nikolay Shubin,Male
Johannes Mashiane,Male
Mukosi Freddy Mulaudzi,Male
Thozamile Taki,Male
Rainbow Maniac,Male
Naceur Damergi,Male
Adolf Seefeldt,Male
Donald Henry Gaskins,Male
William Suff,Male
Vladimir Romanov,Male
Maury Travis,Male
Dennis Nilsen,Male
Kenneth Bianchi,Male
Charles Sobhraj,Male
Abdallah al-Hubal,Male
Nikolai Shestakov,Male
Anatoly Sedykh,Male
Joseph Christopher,Male
Paraquat murders killer,Male
Enriqueta Martí,Female
Herb Baumeister,Male
John Bunting,Male
Sergey Golovkin,Male
Juana Barraza,Female
Zhang Yongming,Male
Jack Unterweger,Male
Vaughn Greenwood,Male
Benjamin Atkins,Male
Nannie Doss,Female
Clifford Olson,Male
Henri Désiré Landru,Male
West Mesa Killer,Male
Anthony Sowell,Male
Andre Crawford,Male
Francisco García Escalero,Male
Robledo Puch,Male
Adnan Çolak,Male
Seisaku Nakamura,Male
Very Idham Henyansyah,Male
Francisco de Assis Pereira,Male
Roshu Kha,Male
Gao Chengyong,Male
Marie Alexandrine Becker,Female
Ruslan Khamarov,Male
Yevgeny Petrov,Male
Rudolf Pleil,Male
Milton Johnson,Male
Long Island serial killer,Male
Daniel Lee Siebert,Male
Lonnie David Franklin Jr.,Male
Sergey Cherny,Male
Bobby Joe Long,Male
Stewart Wilken,Male
David Randitsheni,Male
Edmund Kemper,Male
Dennis Rader,Male
Ali Kaya,Male
Robert Wagner,Male
Jeanne Weber,Female
Henry Louis Wallace,Male
Angelo Buono Jr.,Male
Satish,Male
Zhou Kehua,Male
Kang Ho-sun,Male
Eduard Shemyakov,Male
Oleg Kuznetsov,Male
Stanislav Rogolev,Male
Volker Eckert,Male
Louis van Schoor,Male
Peter Kürten,Male
Roger Dale Stafford,Male
Norman Afzal Simons,Male
Francis Heaulme,Male
Joel Rifkin,Male
Dagmar Overbye,Female
Kenneth McDuff,Male
Robert Joseph Silveria Jr.,Male
Richard Biegenwald,Male
Alexander Bychkov,Male
New Bedford Highway Killer,Male
Maryvale serial shooter,Male
Viktor Fokin,Male
Timothy Krajcir,Male
Edgecombe County Serial Killer,Male
Eric Edgar Cooke,Male
Joseph Paul Franklin,Male
Yoshio Kodaira,Male
Keith Hunter Jesperson,Male
Rodney Alcala,Male
Kiyotaka Katsuta,Male
Pierre Chanal,Male
Christopher Wilder,Male
Axeman of New Orleans,Male
Vladimir Retunsky,Male
Gilbert Paul Jordan,Male
Bruce McArthur,Male
Elizabeth Wettlaufer,Female
Nikolai Dzhumagaliev,Male
Manuel Delgado Villegas,Male
Ershad Sikder,Male
Ivan Milat,Male
Michael Wayne McGray,Male
Kenneth Erskine,Male
David Carpenter,Male
Vladimir Kuzmin,Male
Tommy Recco,Male
Todd Kohlhepp,Male
Ohio Prostitute Killer,Male
Derrick Todd Lee,Male
Tomás Maldonado Cera,Male
Aileen Wuornos,Female
Nikos Metaxas,Male
David Berkowitz,Male
Richard Chase,Male
Tommy Lynn Sells,Male
W?adys?aw Mazurkiewicz,Male
Gong Runbo,Male
Cristopher Chávez Cuellar,Male
András Pándy,Male
John Wayne Glover,Male
Alexander Sergeychik,Male
Adrián Arroyo Gutiérrez,Male
Joseph Naso,Male
Terry Peder Rasmussen,Male
Richard Cottingham,Male
Zodiac Killer,Male
John Floyd Thomas Jr.,Male
Carl Panzram,Male
Steve Wright,Male
Michel Peiry,Male
Hubert Pil?ík,Male
Thomas Dillon,Male
